Date,Adj Close,Rets,Adjusted Returns,Returns,,,,,,
2018-12-21,3839.06,-5.80%,-134.90%,0.259491575,,,,,0.39894228,0.418889394
2018-12-22,3980.46,3.68%,75.75%,2.132931935,,,,,0.39894228,0.418889394
2018-12-23,3944.93,-0.89%,-25.92%,0.771688182,,,,,0.39894228,0.418889394
2018-12-24,4034.00,2.26%,44.08%,1.553957775,,,,,0.39894228,0.418889394
2018-12-25,3780.00,-6.30%,-145.98%,0.232275691,,,,,0.39894228,0.418889394
2018-12-26,3809.88,0.79%,11.48%,1.121627644,,,,,0.39894228,0.418889394
2018-12-27,3589.89,-5.77%,-134.38%,0.260855855,,,,,0.39894228,0.418889394
2018-12-28,3888.06,8.31%,178.46%,5.957043816,,,,,0.39894228,0.418889394
2018-12-29,3729.31,-4.08%,-96.80%,0.379829629,,,,,0.39894228,0.418889394
2018-12-30,3829.00,2.67%,53.31%,1.704175399,,,,,0.39894228,0.418889394
2018-12-31,3691.86,-3.58%,-85.66%,0.424590798,,,,,0.39894228,0.418889394
2019-01-01,3826.10,3.64%,74.70%,2.110734122,,,,,0.39894228,0.418889394
2019-01-02,3890.79,1.69%,31.48%,1.369997527,,,,,0.39894228,0.418889394
2019-01-03,3787.57,-2.65%,-65.03%,0.521894058,,,,,0.39894228,0.418889394
2019-01-04,3820.25,0.86%,13.09%,1.139802578,,,,,0.39894228,0.418889394
2019-01-05,3798.62,-0.57%,-18.66%,0.829734149,,,,,0.39894228,0.418889394
2019-01-06,4040.99,6.38%,135.68%,3.883712334,,,,,0.39894228,0.418889394
2019-01-07,4006.01,-0.87%,-25.32%,0.776328149,,,,,0.39894228,0.418889394
2019-01-08,3993.86,-0.30%,-12.82%,0.879644114,,,,,0.39894228,0.418889394
2019-01-09,4004.12,0.26%,-0.38%,0.99623442,,,,,0.39894228,0.418889394
2019-01-10,3626.12,-9.44%,-215.83%,0.115517541,,,,,0.39894228,0.418889394
2019-01-11,3635.69,0.26%,-0.22%,0.997790409,,,,,0.39894228,0.418889394
